glider_deployment,start,end
ru30-20190717T1812,2019-08-05,2019-08-12
ru30-20210226T1647,2021-02-26,2021-03-21
SBU01-20210226T1910,2021-02-26,2021-03-23
ru30-20210503T1929,2021-05-03,2021-05-27
SBU01-20210513T1921,2021-05-13,2021-06-14
um_242-20210630T1904,2021-07-01,2021-07-21
ru30-20210716T1804,2021-07-16,2021-08-20
SBU01-20210723T1544,2021-07-23,2021-08-20
ru30-20211020T1316,2021-10-20,2021-11-17
SBU01-20211102T1526,2021-11-02,2021-11-20
um_242-20211105T1545,2021-11-05,2021-12-09
maracoos_02-20220420T2011,2022-04-20,2022-05-18
um_242-20220513T1556,2022-05-13,2022-06-19
SBU01-20220805T1855,2022-08-05,2022-09-04
um_242-20220903T1649,2022-09-03,2022-10-06
ru30-20220906T1523,2022-09-06,2022-09-16
SBU01-20221011T1924,2022-10-11,2022-10-29
ru30-20221011T1527,2022-10-11,2022-11-07
um_242-20221205T1648,2022-12-05,2023-01-03
ru39-20230420T1636,2023-04-20,2023-05-12
SBU02-20230420T1743,2023-04-20,2023-05-17
SBU01-20230706T1707,2023-07-06,2023-08-01
um_242-20230803T1949,2023-08-03,2023-08-21
SBU02-20230803T1546,2023-08-03,2023-08-24
ru39-20230817T1520,2023-08-17,2023-09-20
ru34-20230920T1506,2023-09-20,2023-10-19
SBU01-20231011T1805,2023-10-11,2023-10-30
SBU02-20231018T1829,2023-10-18,2023-11-06
ru39-20231103T1413,2023-11-03,2023-12-05
um_242-20231109T1526,2023-11-09,2023-12-08
SBU01-20240212T1652,2024-02-12,2024-03-01
ru39-20240215T1646,2024-02-15,2024-03-14
ru39-20240429T1522,2024-04-29,2024-05-29
ru43-20240612T1658,2024-06-12,2024-07-09
ru39-20240723T1442,2024-07-23,2024-08-23
ru32-20240723T1443,2024-07-23,2024-08-15
ru43-20240904T1539,2024-09-04,2024-10-05
ru39-20241021T1717,2024-10-21,2024-11-19
ru39-20250226T1700,2025-02-26,2025-03-28
ru39-20250423T1535,2025-04-23,2025-05-20
SBU02-20250513T1539,2025-05-16,2025-06-06
ru39-20250716T1542,2025-07-16,2025-08-11
ru32-20250716T1541,2025-07-16,2025-07-31
